taxi_id,trip_start_timestamp,trip_end_timestamp,prev_break
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 10:00:00 UTC,2019-05-01 10:15:00 UTC,
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 10:45:00 UTC,2019-05-01 11:15:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 12:30:00 UTC,2019-05-01 12:45:00 UTC,75
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 13:15:00 UTC,2019-05-01 13:30:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 14:30:00 UTC,2019-05-01 14:45:00 UTC,60
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 15:15:00 UTC,2019-05-01 15:30:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 16:00:00 UTC,2019-05-01 16:30:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 16:45:00 UTC,2019-05-01 16:45:00 UTC,15
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 18:00:00 UTC,2019-05-01 18:15:00 UTC,75
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 19:15:00 UTC,2019-05-01 19:30:00 UTC,60
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 19:45:00 UTC,2019-05-01 20:00:00 UTC,15
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 20:30:00 UTC,2019-05-01 20:45:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 21:00:00 UTC,2019-05-01 21:15:00 UTC,15
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 21:00:00 UTC,2019-05-01 21:00:00 UTC,-15
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 21:30:00 UTC,2019-05-01 21:45:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 22:15:00 UTC,2019-05-01 22:30:00 UTC,30
131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,2019-05-01 23:00:00 UTC,2019-05-01 23:00:00 UTC,30
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 16:30:00 UTC,2019-05-01 16:30:00 UTC,
