trip_date,avg_num_trips
04-08-2016,89345.35484
05-08-2016,89086.45161
06-08-2016,88242.12903
07-08-2016,87323.41935
08-08-2016,86729.03226
09-08-2016,86939.67742
10-08-2016,87054.41935
11-08-2016,87218.32258
12-08-2016,86811.25806
13-08-2016,85701.58065
14-08-2016,84567.83871
15-08-2016,84107.64516
16-08-2016,84835.29032
17-08-2016,84863.09677
18-08-2016,84984.87097
19-08-2016,84561.87097
20-08-2016,83882.35484
21-08-2016,82515.64516
22-08-2016,82302.80645
23-08-2016,82776.16129
24-08-2016,83261.83871
25-08-2016,83469.12903
26-08-2016,82896.48387
27-08-2016,81793.29032
28-08-2016,80793.3871
29-08-2016,80787.74194
30-08-2016,81473.87097
31-08-2016,82165.74194
01-09-2016,82954.87097
02-09-2016,82832.3871
03-09-2016,82043.64516
04-09-2016,81802.32258
05-09-2016,81829.16129
06-09-2016,82418.87097
07-09-2016,83204
08-09-2016,83928.12903
09-09-2016,84040.3871
10-09-2016,83632.3871
11-09-2016,83197.54839
12-09-2016,83106.54839
13-09-2016,84070
14-09-2016,84747.09677
15-09-2016,84295.87097
16-09-2016,84235.96774
17-09-2016,83535.70968
18-09-2016,83039.12903
19-09-2016,83248.29032
20-09-2016,83860.83871
21-09-2016,85525.32258
22-09-2016,86387.41935
23-09-2016,86506.58065
24-09-2016,85958.41935
25-09-2016,85150.03226
26-09-2016,85245.06452
27-09-2016,85908.12903
28-09-2016,86517.80645
29-09-2016,87153.64516
30-09-2016,87052.93548
01-10-2016,86488.93548
02-10-2016,85832.41935
03-10-2016,85880.83871
04-10-2016,86463.29032
05-10-2016,86765
06-10-2016,87301.3871
07-10-2016,87124.54839
08-10-2016,86398.80645
09-10-2016,85797
10-10-2016,85952.96774
11-10-2016,86895.67742
12-10-2016,87552.6129
13-10-2016,88266.90323
14-10-2016,88134.83871
15-10-2016,87627.16129
16-10-2016,87928.45161
17-10-2016,87990.45161
18-10-2016,88958.32258
19-10-2016,90317.35484
20-10-2016,91059.83871
21-10-2016,91261.58065
22-10-2016,90587.22581
23-10-2016,90079.41935
24-10-2016,90101.54839
25-10-2016,90715.48387
26-10-2016,91523.83871
27-10-2016,91973.45161
28-10-2016,91561.03226
29-10-2016,90427.32258
30-10-2016,89209.25806
31-10-2016,88828
01-11-2016,88930
02-11-2016,89076.32258
03-11-2016,89511.29032
04-11-2016,89072.96774
05-11-2016,87745.25806
06-11-2016,86492.35484
07-11-2016,85831.83871
08-11-2016,85350.48387
09-11-2016,83743.93548
10-11-2016,82316.03226
11-11-2016,81055.48387
12-11-2016,79867.22581
13-11-2016,79363.32258
14-11-2016,79113.09677
15-11-2016,79517.19355
16-11-2016,80310.74194
17-11-2016,81056.80645
18-11-2016,80749.77419
19-11-2016,79343.6129
20-11-2016,78476.70968
21-11-2016,78070.67742
22-11-2016,78482.77419
23-11-2016,79061.29032
24-11-2016,79700.87097
25-11-2016,79452.32258
26-11-2016,78301.41935
27-11-2016,77898.77419
28-11-2016,78363.3871
29-11-2016,79516.22581
30-11-2016,80580.74194
01-12-2016,81488.80645
02-12-2016,81214.03226
03-12-2016,80221.25806
04-12-2016,79490.83871
05-12-2016,79621.54839
06-12-2016,80275.25806
07-12-2016,80511.96774
08-12-2016,80331.83871
09-12-2016,79497.87097
10-12-2016,78993.80645
11-12-2016,78528.09677
12-12-2016,78145.06452
13-12-2016,77954.29032
14-12-2016,77000.77419
15-12-2016,76249.09677
16-12-2016,74632.6129
17-12-2016,73249.22581
18-12-2016,71028.45161
19-12-2016,69986.12903
20-12-2016,69829.80645
21-12-2016,69745.03226
22-12-2016,69657.35484
23-12-2016,68573.32258
24-12-2016,66735.87097
25-12-2016,65365.09677
26-12-2016,65092
27-12-2016,65706.35484
28-12-2016,65684.48387
29-12-2016,65405.83871
30-12-2016,64138.19355
31-12-2016,62340.80645
01-01-2017,60452.45161
02-01-2017,60004.67742
03-01-2017,60234.93548
04-01-2017,60220.45161
05-01-2017,60055.48387
06-01-2017,59425.77419
07-01-2017,58533.41935
08-01-2017,58438.6129
09-01-2017,59384.87097
10-01-2017,61030.22581
11-01-2017,62361.70968
12-01-2017,63299.54839
13-01-2017,63357.32258
14-01-2017,62913.93548
15-01-2017,62874.54839
16-01-2017,63615.19355
17-01-2017,63986.87097
18-01-2017,65387.51613
19-01-2017,66271.03226
20-01-2017,66042.54839
21-01-2017,65135.87097
22-01-2017,64531.67742
23-01-2017,64934.70968
24-01-2017,65837.80645
25-01-2017,66344.29032
26-01-2017,66495.35484
27-01-2017,66045.16129
28-01-2017,65100.22581
29-01-2017,64449.3871
30-01-2017,64779.3871
31-01-2017,65613.16129
01-02-2017,66467.3871
02-02-2017,66732
03-02-2017,66640.64516
04-02-2017,65801.67742
05-02-2017,64900.41935
06-02-2017,65134.48387
07-02-2017,66103.54839
08-02-2017,67092.45161
09-02-2017,67947.06452
10-02-2017,68009.70968
11-02-2017,67254.93548
12-02-2017,66688
13-02-2017,67203.54839
14-02-2017,68367.90323
15-02-2017,68969.54839
16-02-2017,69642.58065
17-02-2017,69470.67742
18-02-2017,68569
19-02-2017,68047.70968
20-02-2017,68584.83871
21-02-2017,69634.90323
22-02-2017,70362.74194
23-02-2017,71010.67742
24-02-2017,71664.90323
25-02-2017,70761.19355
26-02-2017,70523.90323
27-02-2017,70896.16129
28-02-2017,72078.83871
01-03-2017,73120.93548
02-03-2017,74215.54839
03-03-2017,74360.83871
04-03-2017,73966.25806
05-03-2017,73952.25806
06-03-2017,74373.19355
07-03-2017,75246.06452
08-03-2017,76317.67742
09-03-2017,76978.35484
10-03-2017,76763.93548
11-03-2017,75674.45161
12-03-2017,74888.87097
13-03-2017,74868.93548
14-03-2017,75659.03226
15-03-2017,76460.12903
16-03-2017,76196.93548
17-03-2017,75734.93548
18-03-2017,74992.70968
19-03-2017,74842.93548
20-03-2017,75480.16129
21-03-2017,76977.25806
22-03-2017,77835.12903
23-03-2017,78307.09677
24-03-2017,77867.70968
25-03-2017,76866.22581
26-03-2017,76302.67742
27-03-2017,75581
28-03-2017,76383.80645
29-03-2017,76762.74194
30-03-2017,76783.25806
31-03-2017,75982.41935
01-04-2017,74442
02-04-2017,73233.41935
03-04-2017,73001.77419
04-04-2017,73557.12903
05-04-2017,73785.58065
06-04-2017,74121.19355
07-04-2017,73736.83871
08-04-2017,72944.3871
09-04-2017,72308.54839
10-04-2017,72371.80645
11-04-2017,73038.06452
12-04-2017,73660.48387
13-04-2017,74140.77419
14-04-2017,74078.80645
15-04-2017,72913.51613
16-04-2017,73207.25806
17-04-2017,73556.54839
18-04-2017,74260.64516
19-04-2017,74357.22581
20-04-2017,74697.45161
21-04-2017,74132
22-04-2017,73299.03226
23-04-2017,72995.90323
24-04-2017,73600.09677
25-04-2017,74859.3871
26-04-2017,75283.03226
27-04-2017,75712.67742
28-04-2017,75270.32258
29-04-2017,74260.54839
30-04-2017,74067.83871
01-05-2017,74608.09677
02-05-2017,75720.67742
03-05-2017,76450.41935
04-05-2017,77358.3871
05-05-2017,77146.32258
06-05-2017,76777.3871
07-05-2017,76527.6129
08-05-2017,77074.67742
09-05-2017,77932.3871
10-05-2017,78373.80645
11-05-2017,78482.45161
12-05-2017,77771.67742
13-05-2017,76578.16129
14-05-2017,74984.29032
15-05-2017,74487.06452
16-05-2017,74947.93548
17-05-2017,75135.54839
18-05-2017,75706.32258
19-05-2017,75803
20-05-2017,75518.70968
21-05-2017,75140.87097
22-05-2017,75166.83871
